 
 
 
 Number of active stations in each line upon iterations 
  
 iteration 	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
  
-1	12	12	18 	11	12	13	6

-1	12	12	18 	11	12	13	6

0	12	12	18 	11	12	13	6

1	12	12	18 	11	12	13	6

2	12	12	18 	11	12	13	6

3	12	12	18 	11	12	13	6

4	12	12	18 	11	12	13	6

5	12	12	18 	11	12	13	6

6	12	12	18 	11	12	13	6

7	12	12	18 	11	12	13	6

8	12	12	18 	11	12	13	6

9	12	12	18 	11	12	13	6
