 
 
 
 Number of riders in each type upon each iteration 
 
 
 
  iteration	 index 	 R_W_PT_RS_	 R_RS_PT_W 	 R_PT 	 R_RS 	 R_w

-1	0	4	7	82	0	7
-1	7	4	7	82	0	7

0	8	6	12	3	72	7

1	7	4	5	11	73	7

2	4	7	14	25	47	7

3	9	4	4	8	77	7

4	9	5	9	27	52	7

5	1	4	7	10	72	7

6	10	21	22	38	12	7

7	6	8	13	20	52	7

8	6	12	10	21	50	7

9	7	13	21	47	12	7
