 
 
 
 Number of vehicles in each line upon iterations 
  
 iteration 	 index	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
-1	0	91	77	55	54	34	45	32

-1	0	91	77	55	54	34	45	32

0	0	91	77	55	54	34	45	32

1	0	91	77	55	54	34	45	32

2	0	91	77	55	54	34	45	32

3	0	91	77	55	54	34	45	32

4	0	91	77	55	54	34	45	32

5	0	91	77	55	54	34	45	32

6	0	91	77	55	54	34	45	32

7	0	91	77	55	54	34	45	32

8	0	91	77	55	54	34	45	32

9	0	91	77	55	54	34	45	32
