iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	783	388	7
-1	1	509	251	7
-1	2	355	173	9
-1	3	463	228	7
-1	4	306	149	8
-1	5	415	204	7
-1	6	547	269	9
-1	7	389	191	7
-1	8	406	199	8
-1	9	432	212	8
-1	10	486	239	8
0	1	385	185	15
0	2	282	134	14
0	3	376	181	14
0	4	313	149	15
0	5	407	197	13
0	6	317	151	15
0	7	367	176	15
0	8	404	195	14
0	9	366	176	14
0	10	408	196	16
1	1	304	147	10
1	2	250	120	10
1	3	341	166	9
1	4	310	148	14
1	5	274	133	8
1	6	312	151	10
1	7	298	144	10
1	8	369	180	9
1	9	258	123	12
1	10	271	130	11
2	1	273	130	13
2	2	303	144	15
2	3	199	93	13
2	4	339	163	13
2	5	324	155	14
2	6	337	164	9
2	7	216	101	14
2	8	285	135	15
2	9	261	125	11
2	10	269	127	15
3	1	209	99	11
3	2	225	108	9
3	3	177	84	9
3	4	234	111	12
3	5	237	113	11
3	6	173	80	13
3	7	233	112	9
3	8	218	104	10
3	9	213	100	13
3	10	188	89	10
4	1	140	64	12
4	2	170	79	12
4	3	172	80	12
4	4	155	70	15
4	5	189	88	13
4	6	215	102	11
4	7	226	107	12
4	8	168	78	12
4	9	198	93	12
4	10	243	117	9
5	1	198	93	12
5	2	140	63	14
5	3	180	84	12
5	4	154	70	14
5	5	185	87	11
5	6	142	64	14
5	7	170	79	12
5	8	143	64	15
5	9	170	78	14
5	10	147	66	15
6	1	142	64	14
6	2	111	49	13
6	3	153	70	13
6	4	140	64	12
6	5	188	87	14
6	6	169	80	9
6	7	145	66	13
6	8	146	67	12
6	9	141	64	13
6	10	166	78	10
7	1	106	46	14
7	2	112	49	14
7	3	156	73	10
7	4	111	49	13
7	5	148	67	14
7	6	165	76	13
7	7	111	49	13
7	8	111	49	13
7	9	142	64	14
7	10	154	70	14
8	1	103	46	11
8	2	106	46	14
8	3	124	56	12
8	4	76	32	12
8	5	105	46	13
8	6	87	37	13
8	7	108	48	12
8	8	104	46	12
8	9	204	96	12
8	10	146	67	12
9	1	152	69	14
9	2	96	41	14
9	3	112	49	14
9	4	215	101	13
9	5	134	61	12
9	6	231	110	11
9	7	141	63	15
9	8	114	50	14
9	9	97	42	13
9	10	150	68	14
