 
 
 
 Number of riders in each type upon each iteration 
 
 
 
  iteration	 index 	 R_W_PT_RS_	 R_RS_PT_W 	 R_PT 	 R_RS 	 R_w

-1	0	3	7	42	41	7
-1	4	2	11	30	50	7

0	2	1	3	5	84	7

1	2	14	16	14	49	7

2	3	13	10	8	62	7

3	6	6	12	3	72	7

4	1	10	12	6	65	7

5	1	10	12	6	65	7

6	2	6	4	8	75	7

7	1	5	7	9	72	7

8	4	3	5	6	79	7

9	4	3	5	6	79	7
