 
 
 
 Number of vehicles in each line upon iterations 
  
 iteration 	 index	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
-1	0	91	77	55	54	34	45	32

-1	4	39	27	19	18	11	16	19

0	2	39	16	23	10	11	16	19

1	2	39	16	7	10	13	16	19

2	3	39	16	7	10	13	4	4

3	6	39	16	7	10	0	4	4

4	1	39	6	7	4	0	4	4

5	1	39	6	7	4	0	4	4

6	2	25	6	7	4	0	4	3

7	1	25	6	7	4	0	4	0

8	4	11	6	7	4	0	4	0

9	4	11	6	7	4	0	4	0
