 
 
 
 Number of vehicles in each line upon iterations 
  
 iteration 	 index	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
-1	0	91	77	55	54	34	45	32

-1	8	49	17	11	32	10	17	18

0	5	49	17	8	15	10	17	18

1	3	49	1	8	15	10	17	18

2	7	49	1	8	15	2	17	18

3	1	7	1	9	15	10	17	18

4	4	7	1	9	15	10	19	0

5	5	7	1	9	15	12	9	0

6	9	7	1	9	9	12	9	0

7	9	7	1	9	9	12	9	0

8	9	7	1	9	9	12	9	0

9	2	4	1	9	9	12	9	0
