 
 
 
 Number of riders in each type upon each iteration 
 
 
 
  iteration	 index 	 R_W_PT_RS_	 R_RS_PT_W 	 R_PT 	 R_RS 	 R_w

-1	0	3	7	42	41	7
-1	8	3	7	31	52	7

0	5	5	8	6	74	7

1	3	8	7	12	66	7

2	7	11	8	7	67	7

3	1	6	6	8	73	7

4	4	9	5	7	72	7

5	5	6	10	7	70	7

6	9	10	12	6	65	7

7	9	10	12	6	65	7

8	9	10	12	6	65	7

9	2	9	10	9	65	7
