iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	782	388	6
-1	1	477	235	7
-1	2	540	266	8
-1	3	554	274	6
-1	4	509	251	7
-1	5	476	234	8
-1	6	461	227	7
-1	7	506	250	6
-1	8	316	154	8
-1	9	357	174	9
-1	10	416	204	8
0	1	413	199	15
0	2	427	207	13
0	3	465	225	15
0	4	350	168	14
0	5	281	134	13
0	6	429	207	15
0	7	319	152	15
0	8	306	146	14
0	9	283	134	15
0	10	284	135	14
1	1	283	137	9
1	2	297	144	9
1	3	248	118	12
1	4	261	124	13
1	5	280	134	12
1	6	287	138	11
1	7	282	135	12
1	8	298	144	10
1	9	276	134	8
1	10	271	129	13
2	1	264	125	14
2	2	269	128	13
2	3	271	129	13
2	4	249	118	13
2	5	248	118	12
2	6	342	165	12
2	7	233	110	13
2	8	280	133	14
2	9	282	134	14
2	10	287	138	11
3	1	169	77	15
3	2	233	110	13
3	3	273	130	13
3	4	244	115	14
3	5	281	134	13
3	6	268	127	14
3	7	252	120	12
3	8	228	107	14
3	9	309	148	13
3	10	253	118	17
4	1	180	84	12
4	2	167	77	13
4	3	163	75	13
4	4	136	61	14
4	5	179	83	13
4	6	176	81	14
4	7	256	122	12
4	8	164	77	10
4	9	245	115	15
4	10	167	77	13
5	1	133	61	11
5	2	176	81	14
5	3	182	84	14
5	4	132	58	16
5	5	119	53	13
5	6	140	64	12
5	7	137	61	15
5	8	172	78	16
5	9	223	106	11
5	10	137	61	15
6	1	119	53	13
6	2	158	72	14
6	3	158	72	14
6	4	114	50	14
6	5	121	53	15
6	6	116	50	16
6	7	119	53	13
6	8	146	65	16
6	9	106	47	12
6	10	119	53	13
7	1	118	53	12
7	2	159	73	13
7	3	132	59	14
7	4	156	71	14
7	5	106	47	12
7	6	109	48	13
7	7	108	47	14
7	8	168	79	10
7	9	107	47	13
7	10	172	79	14
8	1	120	53	14
8	2	130	58	14
8	3	133	60	13
8	4	193	89	15
8	5	108	47	14
8	6	117	51	15
8	7	106	47	12
8	8	106	46	14
8	9	108	47	14
8	10	106	47	12
9	1	116	51	14
9	2	103	44	15
9	3	153	70	13
9	4	192	89	14
9	5	107	47	13
9	6	108	48	12
9	7	137	61	15
9	8	106	46	14
9	9	157	72	13
9	10	104	45	14
