 
 
 
 Number of vehicles in each line upon iterations 
  
 iteration 	 index	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
-1	0	91	77	55	54	34	45	32

-1	10	29	50	13	34	5	7	29

0	3	37	0	31	18	5	7	5

1	10	37	0	31	20	5	3	5

2	9	37	0	31	10	5	3	11

3	4	14	0	22	10	5	3	11

4	4	14	0	22	10	5	3	11

5	4	14	0	16	10	4	3	11

6	1	14	0	16	10	4	5	0

7	5	14	0	16	10	4	3	0

8	4	14	0	16	10	4	3	0

9	2	14	0	16	7	4	3	0
