
 iteration	-1particle 	00	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	2	4	3	0	0	0	4	0	0	0	0	21	12	4	11	17	1	3	3	5	3	0	0	0	2	0	0	0	0	
 iteration -1particle100	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	2	4	3	0	0	0	4	0	0	0	0	14	10	4	11	16	1	3	3	5	10	2	0	0	3	0	0	0	0	
 iteration 0particle31	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	19	9	4	11	18	1	4	5	11	
 iteration 1particle101	0	1	0	1	0	1	0	2	1	2	0	2	1	0	0	1	0	3	0	0	0	4	0	0	0	0	11	8	2	7	13	0	0	0	1	11	2	2	2	4	2	3	4	8	
 iteration 2particle90	1	1	0	2	0	0	0	0	0	0	0	1	3	0	1	0	2	3	0	0	0	4	0	0	0	0	3	1	0	2	6	0	0	0	0	21	10	4	8	8	2	3	5	9	
 iteration 3particle42	2	3	0	4	0	0	0	1	1	1	0	1	3	0	0	0	0	3	0	0	0	4	0	0	0	0	8	7	0	5	5	0	1	0	0	13	2	2	5	7	2	3	5	10	
 iteration 4particle42	2	3	0	4	0	0	0	1	1	1	0	1	3	0	0	0	0	3	0	0	0	4	0	0	0	0	8	7	0	5	5	0	1	0	0	13	2	2	5	7	2	3	5	10	
 iteration 5particle41	2	1	1	5	0	0	0	2	2	0	0	3	4	1	2	2	2	3	0	0	0	4	0	0	0	0	7	4	3	3	4	0	0	0	0	14	6	1	4	6	1	2	3	7	
 iteration 6particle11	4	1	0	3	0	0	0	1	0	0	1	4	4	0	2	1	0	3	0	0	0	4	0	0	0	0	4	2	1	2	1	1	0	0	0	19	6	2	5	11	1	2	4	10	
 iteration 7particle51	3	1	0	2	1	0	0	1	0	0	0	3	4	0	0	1	1	3	0	0	0	4	0	0	0	0	9	3	0	3	5	0	0	0	0	14	6	4	5	8	1	4	4	9	
 iteration 8particle42	3	1	0	2	0	1	0	2	1	0	1	3	0	0	0	0	0	3	0	0	0	4	0	0	0	0	5	5	1	4	9	0	0	0	1	16	4	2	4	8	2	3	5	8	
 iteration 9particle20	1	0	0	3	0	0	1	0	0	0	0	1	3	0	0	0	1	3	0	0	0	4	0	0	0	0	5	2	1	1	3	0	0	0	2	19	9	4	9	10	2	4	4	8	
