 
 
 
 Number of riders in each type upon each iteration 
 
 
 
  iteration	 index 	 R_W_PT_RS_	 R_RS_PT_W 	 R_PT 	 R_RS 	 R_w

-1	0	3	7	42	41	7
-1	3	3	7	22	61	7

0	1	1	2	1	89	7

1	4	5	5	15	68	7

2	7	6	12	13	62	7

3	4	4	6	4	79	7

4	4	4	6	4	79	7

5	10	7	3	9	74	7

6	9	5	7	11	70	7

7	4	0	1	1	91	7

8	3	1	6	12	74	7

9	3	1	6	12	74	7
