iter 	 particle_index 	 TN_Cost 	 PT_Veh 	 RS_Veh

-1	0	783	388	7
-1	1	453	223	7
-1	2	526	259	8
-1	3	283	137	9
-1	4	498	245	8
-1	5	415	204	7
-1	6	419	206	7
-1	7	493	243	7
-1	8	457	225	7
-1	9	550	271	8
-1	10	401	197	7
0	1	227	106	15
0	2	451	219	13
0	3	358	172	14
0	4	491	238	15
0	5	347	166	15
0	6	411	198	15
0	7	235	110	15
0	8	317	151	15
0	9	302	143	16
0	10	257	121	15
1	1	222	106	10
1	2	297	145	7
1	3	319	153	13
1	4	178	84	10
1	5	261	125	11
1	6	456	224	8
1	7	261	127	7
1	8	251	120	11
1	9	320	156	8
1	10	182	85	12
2	1	181	84	13
2	2	307	148	11
2	3	222	103	16
2	4	202	95	12
2	5	190	87	16
2	6	419	205	9
2	7	175	81	13
2	8	253	120	13
2	9	181	84	13
2	10	220	103	14
3	1	164	75	14
3	2	237	111	15
3	3	215	103	9
3	4	137	62	13
3	5	200	94	12
3	6	289	138	13
3	7	232	109	14
3	8	254	120	14
3	9	206	97	12
3	10	146	66	14
4	1	175	81	13
4	2	194	91	12
4	3	139	62	15
4	4	243	116	11
4	5	139	62	15
4	6	248	118	12
4	7	205	95	15
4	8	233	110	13
4	9	164	76	12
4	10	221	106	9
5	1	144	65	14
5	2	167	77	13
5	3	167	75	17
5	4	172	78	16
5	5	155	70	15
5	6	226	107	12
5	7	238	112	14
5	8	138	62	14
5	9	203	95	13
5	10	131	59	13
6	1	132	59	14
6	2	246	117	12
6	3	145	67	11
6	4	132	58	16
6	5	150	68	14
6	6	134	60	14
6	7	153	70	13
6	8	163	73	17
6	9	127	57	13
6	10	220	104	12
7	1	129	57	15
7	2	197	93	11
7	3	134	61	12
7	4	114	49	16
7	5	164	74	16
7	6	143	65	13
7	7	178	83	12
7	8	166	77	12
7	9	263	125	13
7	10	210	99	12
8	1	158	71	16
8	2	181	84	13
8	3	105	45	15
8	4	149	68	13
8	5	174	80	14
8	6	113	49	15
8	7	125	55	15
8	8	142	64	14
8	9	122	54	14
8	10	154	70	14
9	1	129	57	15
9	2	113	49	15
9	3	144	65	14
9	4	111	48	15
9	5	105	45	15
9	6	169	77	15
9	7	121	53	15
9	8	179	83	13
9	9	152	69	14
9	10	114	50	14
