 
 
 
 Number of vehicles in each line upon iterations 
  
 iteration 	 index	 line 1 	 line 2 	 line 3 	 line 4 	 line 5 	 line 6 	 line 7 
-1	0	91	77	55	54	34	45	32

-1	3	20	36	11	15	14	14	27

0	1	20	0	11	15	30	14	16

1	4	20	0	10	15	25	14	0

2	7	20	0	11	15	25	4	6

3	4	0	0	11	15	25	5	6

4	4	0	0	11	15	25	5	6

5	10	12	0	11	11	14	5	6

6	9	12	0	11	15	14	5	0

7	4	0	0	11	19	14	5	0

8	3	0	0	11	15	14	5	0

9	3	0	0	11	15	14	5	0
